# rho       1e5ptcls      2e5ptcls      5e5ptcls     1e6ptcls
0.00000e+00 2.50950e+19 2.08610e+19 1.66560e+19 3.91920e+19
5.00000e-03 2.45140e+19 1.63020e+19 2.06090e+19 1.65630e+19
1.00000e-02 1.16670e+19 1.08070e+19 1.69250e+19 1.39560e+19
1.50000e-02 1.67100e+19 1.36920e+19 1.44970e+19 1.57050e+19
2.00000e-02 1.00030e+19 1.54210e+19 1.52100e+19 1.33250e+19
2.50000e-02 9.71490e+18 1.23000e+19 1.48800e+19 1.40050e+19
3.00000e-02 1.33790e+19 1.62060e+19 1.39540e+19 1.34630e+19
3.50000e-02 1.21550e+19 1.29520e+19 1.39710e+19 1.36580e+19
4.00000e-02 6.81580e+18 1.52980e+19 1.39590e+19 1.32000e+19
4.50000e-02 9.11400e+18 1.21220e+19 1.41720e+19 1.31950e+19
5.00000e-02 1.41940e+19 1.37660e+19 1.43670e+19 1.47390e+19
5.50000e-02 9.67290e+18 1.21510e+19 1.40530e+19 1.37850e+19
6.00000e-02 1.52340e+19 1.35450e+19 1.23970e+19 1.26110e+19
6.50000e-02 1.44170e+19 1.23920e+19 1.36810e+19 1.36070e+19
7.00000e-02 1.27930e+19 1.21950e+19 1.29630e+19 1.39710e+19
7.50000e-02 1.30370e+19 1.56590e+19 1.27140e+19 1.34200e+19
8.00000e-02 1.42910e+19 1.33800e+19 1.21810e+19 1.37960e+19
8.50000e-02 9.41310e+18 1.37330e+19 1.37760e+19 1.29720e+19
9.00000e-02 1.18460e+19 1.42690e+19 1.34840e+19 1.28110e+19
9.50000e-02 1.25680e+19 1.19000e+19 1.27670e+19 1.35050e+19
1.00000e-01 1.33030e+19 1.23660e+19 1.28430e+19 1.24370e+19
1.05000e-01 1.20920e+19 1.13920e+19 1.41020e+19 1.29150e+19
1.10000e-01 1.05300e+19 1.14260e+19 1.35000e+19 1.30200e+19
1.15000e-01 1.29440e+19 1.43950e+19 1.34440e+19 1.33740e+19
1.20000e-01 1.17950e+19 1.18490e+19 1.28830e+19 1.33360e+19
1.25000e-01 1.21480e+19 1.21990e+19 1.27400e+19 1.35310e+19
1.30000e-01 1.23480e+19 1.30970e+19 1.19510e+19 1.29010e+19
1.35000e-01 1.38360e+19 1.29010e+19 1.35050e+19 1.29970e+19
1.40000e-01 1.33360e+19 1.24360e+19 1.36810e+19 1.21090e+19
1.45000e-01 1.23470e+19 1.22470e+19 1.28790e+19 1.25740e+19
1.50000e-01 1.21960e+19 1.18270e+19 1.31400e+19 1.27920e+19
1.55000e-01 1.20570e+19 1.37270e+19 1.21600e+19 1.28290e+19
1.60000e-01 1.38540e+19 1.12210e+19 1.25780e+19 1.21380e+19
1.65000e-01 1.41040e+19 1.19710e+19 1.17750e+19 1.22590e+19
1.70000e-01 1.11450e+19 1.13560e+19 1.13820e+19 1.28300e+19
1.75000e-01 1.19910e+19 1.14970e+19 1.22620e+19 1.18600e+19
1.80000e-01 1.24880e+19 1.18350e+19 1.17550e+19 1.20870e+19
